country_iso,date,holiday_reason
GB,1900-01-01,New year
GB,1900-04-13,Good Friday
GB,1900-04-15,Easter Sunday
GB,1900-04-16,Easter Monday
GB,1900-05-07,Early May Bank Holiday
GB,1900-05-28,Spring Bank Holiday
GB,1900-08-27,Late Summer Bank Holiday
GB,1900-12-25,Christmas Day
GB,1900-12-26,Boxing Day
GB,1901-01-01,New year
GB,1901-04-05,Good Friday
GB,1901-04-07,Easter Sunday
GB,1901-04-08,Easter Monday
GB,1901-05-06,Early May Bank Holiday
GB,1901-05-27,Spring Bank Holiday
GB,1901-08-26,Late Summer Bank Holiday
GB,1901-12-25,Christmas Day
GB,1901-12-26,Boxing Day
GB,1902-01-01,New year
GB,1902-03-28,Good Friday
GB,1902-03-30,Easter Sunday
GB,1902-03-31,Easter Monday
GB,1902-05-05,Early May Bank Holiday
GB,1902-05-26,Spring Bank Holiday
GB,1902-08-25,Late Summer Bank Holiday
GB,1902-12-25,Christmas Day
GB,1902-12-26,Boxing Day
GB,1903-01-01,New year
GB,1903-04-10,Good Friday
GB,1903-04-12,Easter Sunday
GB,1903-04-13,Easter Monday
GB,1903-05-04,Early May Bank Holiday
GB,1903-05-25,Spring Bank Holiday
GB,1903-08-31,Late Summer Bank Holiday
GB,1903-12-25,Christmas Day
GB,1903-12-26,Boxing Day
GB,1903-12-28,Boxing Day Shift
GB,1904-01-01,New year
GB,1904-04-01,Good Friday
GB,1904-04-03,Easter Sunday
GB,1904-04-04,Easter Monday
GB,1904-05-02,Early May Bank Holiday
GB,1904-05-30,Spring Bank Holiday
GB,1904-08-29,Late Summer Bank Holiday
GB,1904-12-25,Christmas Day
GB,1904-12-26,Boxing Day
GB,1904-12-26,Christmas Shift
GB,1904-12-27,Boxing Day Shift
GB,1905-01-01,New year
GB,1905-01-02,New Year shift
GB,1905-04-21,Good Friday
GB,1905-04-23,Easter Sunday
GB,1905-04-24,Easter Monday
GB,1905-05-01,Early May Bank Holiday
GB,1905-05-29,Spring Bank Holiday
GB,1905-08-28,Late Summer Bank Holiday
GB,1905-12-25,Christmas Day
GB,1905-12-26,Boxing Day
GB,1906-01-01,New year
GB,1906-04-13,Good Friday
GB,1906-04-15,Easter Sunday
GB,1906-04-16,Easter Monday
GB,1906-05-07,Early May Bank Holiday
GB,1906-05-28,Spring Bank Holiday
GB,1906-08-27,Late Summer Bank Holiday
GB,1906-12-25,Christmas Day
GB,1906-12-26,Boxing Day
GB,1907-01-01,New year
GB,1907-03-29,Good Friday
GB,1907-03-31,Easter Sunday
GB,1907-04-01,Easter Monday
GB,1907-05-06,Early May Bank Holiday
GB,1907-05-27,Spring Bank Holiday
GB,1907-08-26,Late Summer Bank Holiday
GB,1907-12-25,Christmas Day
GB,1907-12-26,Boxing Day
GB,1908-01-01,New year
GB,1908-04-17,Good Friday
GB,1908-04-19,Easter Sunday
GB,1908-04-20,Easter Monday
GB,1908-05-04,Early May Bank Holiday
GB,1908-05-25,Spring Bank Holiday
GB,1908-08-31,Late Summer Bank Holiday
GB,1908-12-25,Christmas Day
GB,1908-12-26,Boxing Day
GB,1908-12-28,Boxing Day Shift
GB,1909-01-01,New year
GB,1909-04-09,Good Friday
GB,1909-04-11,Easter Sunday
GB,1909-04-12,Easter Monday
GB,1909-05-03,Early May Bank Holiday
GB,1909-05-31,Spring Bank Holiday
GB,1909-08-30,Late Summer Bank Holiday
GB,1909-12-25,Christmas Day
GB,1909-12-26,Boxing Day
GB,1909-12-27,Christmas Shift
GB,1909-12-28,Boxing Day Shift
GB,1910-01-01,New year
GB,1910-01-03,New Year shift
GB,1910-03-25,Good Friday
GB,1910-03-27,Easter Sunday
GB,1910-03-28,Easter Monday
GB,1910-05-02,Early May Bank Holiday
GB,1910-05-30,Spring Bank Holiday
GB,1910-08-29,Late Summer Bank Holiday
GB,1910-12-25,Christmas Day
GB,1910-12-26,Boxing Day
GB,1910-12-26,Christmas Shift
GB,1910-12-27,Boxing Day Shift
GB,1911-01-01,New year
GB,1911-01-02,New Year shift
GB,1911-04-14,Good Friday
GB,1911-04-16,Easter Sunday
GB,1911-04-17,Easter Monday
GB,1911-05-01,Early May Bank Holiday
GB,1911-05-29,Spring Bank Holiday
GB,1911-08-28,Late Summer Bank Holiday
GB,1911-12-25,Christmas Day
GB,1911-12-26,Boxing Day
GB,1912-01-01,New year
GB,1912-04-05,Good Friday
GB,1912-04-07,Easter Sunday
GB,1912-04-08,Easter Monday
GB,1912-05-06,Early May Bank Holiday
GB,1912-05-27,Spring Bank Holiday
GB,1912-08-26,Late Summer Bank Holiday
GB,1912-12-25,Christmas Day
GB,1912-12-26,Boxing Day
GB,1913-01-01,New year
GB,1913-03-21,Good Friday
GB,1913-03-23,Easter Sunday
GB,1913-03-24,Easter Monday
GB,1913-05-05,Early May Bank Holiday
GB,1913-05-26,Spring Bank Holiday
GB,1913-08-25,Late Summer Bank Holiday
GB,1913-12-25,Christmas Day
GB,1913-12-26,Boxing Day
GB,1914-01-01,New year
GB,1914-04-10,Good Friday
GB,1914-04-12,Easter Sunday
GB,1914-04-13,Easter Monday
GB,1914-05-04,Early May Bank Holiday
GB,1914-05-25,Spring Bank Holiday
GB,1914-08-31,Late Summer Bank Holiday
GB,1914-12-25,Christmas Day
GB,1914-12-26,Boxing Day
GB,1914-12-28,Boxing Day Shift
GB,1915-01-01,New year
GB,1915-04-02,Good Friday
GB,1915-04-04,Easter Sunday
GB,1915-04-05,Easter Monday
GB,1915-05-03,Early May Bank Holiday
GB,1915-05-31,Spring Bank Holiday
GB,1915-08-30,Late Summer Bank Holiday
GB,1915-12-25,Christmas Day
GB,1915-12-26,Boxing Day
GB,1915-12-27,Christmas Shift
GB,1915-12-28,Boxing Day Shift
GB,1916-01-01,New year
GB,1916-01-03,New Year shift
GB,1916-04-21,Good Friday
GB,1916-04-23,Easter Sunday
GB,1916-04-24,Easter Monday
GB,1916-05-01,Early May Bank Holiday
GB,1916-05-29,Spring Bank Holiday
GB,1916-08-28,Late Summer Bank Holiday
GB,1916-12-25,Christmas Day
GB,1916-12-26,Boxing Day
GB,1917-01-01,New year
GB,1917-04-06,Good Friday
GB,1917-04-08,Easter Sunday
GB,1917-04-09,Easter Monday
GB,1917-05-07,Early May Bank Holiday
GB,1917-05-28,Spring Bank Holiday
GB,1917-08-27,Late Summer Bank Holiday
GB,1917-12-25,Christmas Day
GB,1917-12-26,Boxing Day
GB,1918-01-01,New year
GB,1918-03-29,Good Friday
GB,1918-03-31,Easter Sunday
GB,1918-04-01,Easter Monday
GB,1918-05-06,Early May Bank Holiday
GB,1918-05-27,Spring Bank Holiday
GB,1918-08-26,Late Summer Bank Holiday
GB,1918-12-25,Christmas Day
GB,1918-12-26,Boxing Day
GB,1919-01-01,New year
GB,1919-04-18,Good Friday
GB,1919-04-20,Easter Sunday
GB,1919-04-21,Easter Monday
GB,1919-05-05,Early May Bank Holiday
GB,1919-05-26,Spring Bank Holiday
GB,1919-08-25,Late Summer Bank Holiday
GB,1919-12-25,Christmas Day
GB,1919-12-26,Boxing Day
GB,1920-01-01,New year
GB,1920-04-02,Good Friday
GB,1920-04-04,Easter Sunday
GB,1920-04-05,Easter Monday
GB,1920-05-03,Early May Bank Holiday
GB,1920-05-31,Spring Bank Holiday
GB,1920-08-30,Late Summer Bank Holiday
GB,1920-12-25,Christmas Day
GB,1920-12-26,Boxing Day
GB,1920-12-27,Christmas Shift
GB,1920-12-28,Boxing Day Shift
GB,1921-01-01,New year
GB,1921-01-03,New Year shift
GB,1921-03-25,Good Friday
GB,1921-03-27,Easter Sunday
GB,1921-03-28,Easter Monday
GB,1921-05-02,Early May Bank Holiday
GB,1921-05-30,Spring Bank Holiday
GB,1921-08-29,Late Summer Bank Holiday
GB,1921-12-25,Christmas Day
GB,1921-12-26,Boxing Day
GB,1921-12-26,Christmas Shift
GB,1921-12-27,Boxing Day Shift
GB,1922-01-01,New year
GB,1922-01-02,New Year shift
GB,1922-04-14,Good Friday
GB,1922-04-16,Easter Sunday
GB,1922-04-17,Easter Monday
GB,1922-05-01,Early May Bank Holiday
GB,1922-05-29,Spring Bank Holiday
GB,1922-08-28,Late Summer Bank Holiday
GB,1922-12-25,Christmas Day
GB,1922-12-26,Boxing Day
GB,1923-01-01,New year
GB,1923-03-30,Good Friday
GB,1923-04-01,Easter Sunday
GB,1923-04-02,Easter Monday
GB,1923-05-07,Early May Bank Holiday
GB,1923-05-28,Spring Bank Holiday
GB,1923-08-27,Late Summer Bank Holiday
GB,1923-12-25,Christmas Day
GB,1923-12-26,Boxing Day
